127.0.0.1 - - [07/Apr/2016:10:11:57 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:11:58 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:11:58 +0800] "GET /SecureCloud/resource/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:11:58 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:11:58 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 200 12744
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:12:10 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:12:10 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:12:10 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:13:18 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:13:18 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:13:18 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:07 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:07 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:07 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/library/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 105939
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/css/style.css HTTP/1.1" 200 91651
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/library/uniform/css/uniform.default.css HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/css/metro.css HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/library/font-awesome/css/font-awesome.css HTTP/1.1" 200 19557
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/css/style_responsive.css HTTP/1.1" 200 7188
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93639
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/library/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 28538
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/js/jquery.blockui.js HTTP/1.1" 200 19357
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/library/uniform/jquery.uniform.min.js HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/library/jquery-validation/jquery.validate.min.js HTTP/1.1" 200 20886
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 200 12744
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/library/font-awesome/font/fontawesome-webfont.woff HTTP/1.1" 200 31840
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/js/app.js HTTP/1.1" 200 107433
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/uipackage/logo/logo-big.png HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/img/index-2.0/small-weibo-c.png HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/img/index-2.0/logo-big.png HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:24 +0800] "GET /SecureCloud/resource/img/syncfusion-icons-white.png HTTP/1.1" 200 5550
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:25 +0800] "GET /SecureCloud/resource/uipackage/data/data.json HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:25 +0800] "GET /SecureCloud/resource/library/uniform/images/sprite.png HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:15:25 +0800] "GET /SecureCloud/favicon.ico HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:29:06 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 11938
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:29:06 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:29:06 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:32:30 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 12003
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:32:30 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:32:30 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 304 -
